Doc..Date,Order.qty
2020-07-05,260
2021-12-31,255
2020-04-30,258
2020-11-12,258
2020-07-05,251
2021-03-11,260
2021-01-07,256
2021-11-25,259
2021-09-08,259
2020-12-05,254
2020-10-13,259
2020-07-03,260
2021-07-03,253
2021-03-07,259
2021-09-24,253
2020-03-01,259
2021-02-28,252
2020-02-12,258
2020-11-17,254
2021-02-12,257
2020-08-01,253
2020-09-18,251
2020-11-13,254
2020-07-19,258
2021-06-12,253
2021-11-06,255
2021-03-08,257
2020-02-13,251
2021-08-11,252
2020-12-23,255
2020-06-08,256
2020-01-22,260
2021-04-21,251
2020-11-30,255
2020-12-08,260
2021-05-08,252
2021-02-06,259
2021-08-30,250
2021-09-01,256
2020-05-20,256
2020-11-04,259
2021-09-06,254
2021-01-19,259
2021-03-24,251
2020-06-28,256
2021-08-26,252
2021-09-09,256
2020-01-05,253
2020-12-28,251
2021-05-21,259
2021-07-18,259
2020-01-16,252
2021-08-03,255
2021-10-03,254
2020-03-03,251
2021-12-16,254
2020-12-13,256
2020-06-23,250
2020-02-27,256
2021-06-05,255
2020-04-06,259
2020-04-10,257
2020-04-17,259
2020-12-26,256
2020-11-07,256
2020-09-25,257
2021-04-14,250
2020-02-26,251
2021-02-19,250
2020-11-06,256
2020-10-13,256
2020-01-23,256
2020-04-08,253
2020-07-17,250
2020-03-17,257
2021-08-10,259
2020-03-08,254
2021-08-09,251
2020-08-01,252
2020-08-12,252
2021-02-11,250
2021-05-29,259
2021-06-25,254
2021-12-08,258
2021-04-30,251
2020-02-14,254
2021-07-28,251
2021-08-16,254
2021-06-23,260
2021-07-20,250
2020-09-04,257
2020-02-20,251
2021-10-17,251
2020-12-07,250
2021-11-07,257
2020-06-12,252
2020-02-12,257
2021-03-04,254
2021-06-04,256
2021-04-17,252
2020-11-07,251
2021-02-16,260
2021-06-13,254
2021-09-17,258
2021-10-21,258
2020-03-13,254
2021-01-13,255
2021-09-10,256
2020-01-11,260
2021-03-23,251
2020-11-02,256
2021-03-05,250
2021-09-13,259
2020-09-13,260
2020-01-03,251
2021-12-06,260
2021-01-04,255
2020-07-11,256
2021-12-22,255
2020-05-10,253
2021-11-10,253
2021-07-31,258
2020-11-11,259
2020-03-06,257
2021-05-12,257
2021-07-18,251
2020-07-23,254
2020-10-21,252
2021-07-02,257
2021-07-25,250
2021-10-07,253
2021-01-10,256
2020-11-24,257
2020-05-20,258
2021-07-27,255
2020-06-16,256
2020-10-07,253
2020-08-20,253
2021-01-06,250
2021-02-13,252
2021-01-06,256
2021-12-09,253
2020-01-17,250
2020-07-08,259
2021-05-13,254
2021-01-20,257
2021-07-11,255
2021-02-25,260
2020-06-14,250
2021-09-10,251
2020-08-08,254
2021-11-04,257
2021-11-05,257
2021-01-20,259
2021-10-10,259
2021-10-14,256
2020-08-02,253
2021-02-08,250
2021-10-12,252
2021-03-24,252
2020-02-08,257
2021-11-01,253
2020-07-26,250
2021-01-19,255
2021-08-25,251
2020-05-29,254
2020-10-01,250
2021-01-19,250
2021-11-07,253
2021-11-05,250
2020-07-27,258
2020-01-15,260
2021-05-13,258
2021-12-23,260
2021-10-02,255
2021-06-06,252
2021-11-04,257
2021-09-07,250
2020-08-11,254
2021-03-19,251
2021-03-29,256
2020-02-28,250
2020-01-23,253
2020-07-10,252
2021-01-15,259
2021-10-07,252
2021-07-16,254
2021-09-20,256
2020-09-06,255
2020-05-30,256
2021-05-16,255
2020-03-05,254
2020-12-15,250
2021-11-11,253
2020-12-03,256
2021-01-08,254
2021-09-19,252
2020-05-16,253
2021-01-04,258
2021-06-29,257
2020-01-26,258
2020-02-26,255
2020-06-29,259
2021-10-24,252
2021-03-27,256
2021-07-15,256
2020-12-25,259
2021-04-30,253
2020-09-25,258
2021-04-06,255
2020-09-18,252
2020-01-20,258
2020-04-27,256
2020-01-22,250
2021-06-22,253
2020-04-05,257
2020-03-02,258
2020-12-29,251
2021-03-02,250
2020-11-18,256
2021-10-14,252
2020-02-15,259
2020-07-26,257
2020-12-31,254
2021-11-15,260
2021-09-20,252
2021-07-24,251
2021-12-31,250
2020-02-21,258
2021-10-04,252
2021-07-17,250
2021-02-11,252
2020-12-15,254
2021-09-09,256
2020-11-15,250
2020-09-02,251
2021-06-09,258
2021-12-30,255
2020-06-02,253
2020-05-17,250
2020-02-18,255
2020-12-17,251
2020-03-03,256
2021-07-03,254
2020-11-04,250
2020-12-02,260
2021-10-26,254
2021-08-01,255
2020-05-31,256
2020-10-31,254
2020-11-12,256
2020-10-03,251
2020-02-16,251
2020-07-29,257
2021-11-16,250
2020-06-17,256
2021-06-11,250
2020-10-25,250
2021-11-01,257
2021-03-22,251
2021-06-20,254
2020-08-15,256
2020-03-30,252
2021-07-06,256
2020-01-12,250
2021-01-01,258
2021-03-06,251
2021-07-16,255
2021-05-17,256
2020-06-20,250
2020-10-23,253
2021-03-30,259
2021-03-10,260
2021-11-07,252
2020-08-01,252
2021-07-08,256
2021-02-07,252
2021-11-28,253
2020-08-13,251
2021-03-03,253
2020-01-11,251
2020-06-08,251
2020-12-31,255
2020-08-12,253
