Doc..Date,Ship.to.nu,Subrand,Segment.LE
2020-02-20,208,JUICE,G
2021-07-19,201,WATER,G
2021-02-20,205,MILK,XG
2021-03-19,201,PEPSI,XG
2021-10-26,203,JUICE,XG
2021-11-26,208,COCA,P
2020-11-09,203,JUICE,M
2021-02-11,200,WATER,M
2021-06-05,209,SPRITE,P
2020-09-10,203,SPRITE,M
2021-01-10,201,COCA,G
2021-11-01,208,COCA,M
2020-04-25,205,WATER,M
2020-08-26,209,SPRITE,P
2021-03-06,210,COCA,P
2020-01-29,203,MILK,G
2021-01-08,204,MILK,XG
2020-06-08,206,SPRITE,P
2020-01-06,210,MILK,M
2020-06-16,203,WATER,P
2021-11-17,206,PEPSI,G
2020-12-01,200,JUICE,P
2020-05-08,210,SPRITE,G
2020-11-24,207,PEPSI,XG
2021-03-03,210,PEPSI,P
2021-01-07,209,MILK,P
2020-08-27,201,SPRITE,XG
2020-04-10,208,MILK,G
2020-07-18,200,JUICE,XG
2021-03-19,209,WATER,M
2020-04-20,210,WATER,M
2021-03-14,208,WATER,G
2020-04-13,206,SPRITE,P
2021-02-07,205,PEPSI,XG
2021-09-20,209,SPRITE,P
2021-03-17,209,WATER,M
2021-11-21,200,SPRITE,P
2020-02-27,201,PEPSI,P
2020-06-30,201,SPRITE,XG
2020-05-02,209,MILK,XG
2021-12-28,207,MILK,P
2020-07-24,201,SPRITE,G
2021-03-07,205,MILK,G
2021-08-08,210,JUICE,XG
2021-02-01,208,JUICE,P
2020-04-18,207,JUICE,M
2020-11-22,200,SPRITE,P
2020-05-03,207,SPRITE,XG
2020-08-05,204,WATER,G
2020-01-16,204,COCA,G
2021-10-10,202,COCA,P
2021-03-02,206,SPRITE,P
2020-06-25,210,SPRITE,XG
2020-11-05,208,PEPSI,G
2020-04-20,208,PEPSI,G
2021-02-20,206,PEPSI,XG
2021-12-07,207,PEPSI,G
2020-05-20,205,MILK,P
2021-08-13,201,COCA,M
2021-12-12,202,MILK,P
2020-01-29,205,SPRITE,XG
2021-10-06,209,SPRITE,M
2020-05-09,206,WATER,XG
2021-11-03,208,WATER,XG
2020-09-09,207,JUICE,P
2021-09-18,201,SPRITE,M
2020-09-05,210,COCA,P
2020-08-12,206,PEPSI,M
2021-11-07,204,JUICE,M
2020-09-29,202,COCA,XG
2021-07-19,201,MILK,G
2020-06-19,206,JUICE,M
2021-04-30,209,MILK,P
2020-07-16,207,PEPSI,M
2021-07-03,200,JUICE,G
2020-01-15,208,PEPSI,P
2021-12-06,207,PEPSI,G
2020-07-16,205,JUICE,G
2021-12-24,207,PEPSI,P
2020-12-08,208,PEPSI,XG
2021-01-11,206,WATER,P
2020-08-19,202,MILK,P
2020-06-18,201,WATER,M
2021-02-15,203,PEPSI,P
2021-08-16,208,PEPSI,P
2020-01-22,205,MILK,XG
2021-06-20,200,SPRITE,G
2021-06-23,204,JUICE,XG
2020-09-19,203,SPRITE,XG
2020-03-24,206,PEPSI,P
2020-03-05,210,COCA,M
2020-01-01,203,PEPSI,P
2020-08-13,207,MILK,G
2020-08-19,203,WATER,G
2020-10-27,206,COCA,G
2020-01-19,203,SPRITE,G
2020-12-21,203,SPRITE,P
2021-06-28,209,COCA,P
2021-07-18,202,SPRITE,XG
2021-06-01,204,JUICE,M
2021-03-10,210,WATER,P
2021-04-16,207,WATER,P
2020-05-13,202,PEPSI,XG
2020-04-14,209,PEPSI,M
2021-10-18,201,COCA,XG
2021-03-07,203,JUICE,G
2021-12-16,210,JUICE,P
2021-05-05,208,JUICE,G
2020-01-25,205,JUICE,XG
2020-05-03,209,SPRITE,P
2021-08-14,207,COCA,M
2021-12-07,205,JUICE,P
2021-07-15,200,WATER,P
2020-10-03,210,SPRITE,M
2021-01-31,205,PEPSI,G
2020-09-21,207,COCA,M
2020-09-10,207,WATER,G
2021-01-05,202,COCA,XG
2021-04-28,200,JUICE,G
2021-07-25,203,JUICE,M
2020-01-10,201,COCA,P
2021-03-26,208,SPRITE,M
2020-03-06,210,COCA,P
2020-07-17,204,JUICE,G
2020-12-13,207,MILK,M
2020-08-15,203,JUICE,XG
2021-07-03,206,PEPSI,G
2020-09-06,204,JUICE,XG
2020-01-25,210,JUICE,P
2021-08-26,208,COCA,XG
2021-04-22,202,MILK,P
2021-04-25,204,JUICE,M
2020-05-11,204,PEPSI,P
2021-08-14,205,PEPSI,XG
2020-02-27,200,WATER,P
2020-04-12,200,COCA,P
2020-03-24,210,MILK,G
2021-09-06,210,SPRITE,G
2020-12-19,204,SPRITE,XG
2020-06-29,201,SPRITE,XG
2020-05-26,200,SPRITE,XG
2020-05-10,210,JUICE,XG
2020-08-27,202,COCA,G
2021-09-17,209,WATER,G
2020-06-30,207,WATER,G
2020-10-16,210,MILK,XG
2020-12-11,208,SPRITE,M
2021-06-04,204,SPRITE,M
2021-12-03,204,MILK,M
2020-01-29,202,PEPSI,XG
2020-09-28,202,WATER,M
2021-03-06,207,MILK,P
2020-03-29,202,COCA,G
2020-09-10,200,WATER,P
2021-06-01,209,MILK,G
2020-03-17,208,COCA,P
2021-03-02,206,COCA,XG
2021-12-22,203,WATER,G
2021-07-15,209,MILK,G
2020-07-19,200,WATER,G
2020-08-18,201,SPRITE,P
2020-04-09,208,WATER,M
2020-09-05,203,JUICE,M
2021-11-25,204,MILK,M
2021-06-24,205,PEPSI,G
2021-03-22,203,MILK,XG
2021-11-16,200,WATER,G
2020-08-23,200,MILK,XG
2020-02-17,201,SPRITE,G
2020-03-03,208,MILK,P
2020-09-15,207,MILK,P
2021-10-18,200,SPRITE,XG
2021-11-08,207,COCA,XG
2021-01-29,205,PEPSI,M
2020-11-21,208,SPRITE,XG
2020-03-30,207,MILK,P
2021-01-12,200,JUICE,M
2020-07-23,201,COCA,XG
2021-12-08,202,SPRITE,XG
2020-02-27,203,MILK,M
2021-11-25,205,PEPSI,M
2021-07-23,210,PEPSI,M
2020-06-18,208,WATER,G
2021-09-13,205,MILK,XG
2020-01-13,210,MILK,M
2020-05-01,203,MILK,G
2021-07-30,210,SPRITE,XG
2020-10-04,207,JUICE,M
2020-04-04,203,COCA,XG
2021-04-04,203,COCA,G
2020-07-26,209,PEPSI,P
2020-06-27,205,WATER,XG
2021-04-17,201,MILK,P
2021-08-21,207,COCA,XG
2021-08-11,205,COCA,G
2021-08-15,202,PEPSI,P
2021-04-08,201,WATER,P
2021-01-04,204,SPRITE,M
2020-08-09,200,COCA,M
2021-02-26,205,SPRITE,G
2021-10-26,205,PEPSI,XG
2021-12-19,205,SPRITE,G
2021-02-12,203,COCA,P
2020-06-10,207,WATER,P
2021-04-30,210,JUICE,P
2020-07-24,210,COCA,P
2020-05-03,202,SPRITE,M
2021-04-12,204,WATER,XG
2021-06-24,202,COCA,M
2020-11-13,200,WATER,G
2021-07-22,206,JUICE,M
2020-05-19,201,MILK,XG
2021-07-18,201,MILK,M
2021-03-07,200,WATER,M
2020-10-02,207,SPRITE,M
2020-06-12,209,PEPSI,P
2021-06-26,206,JUICE,P
2020-08-25,209,SPRITE,XG
2020-11-20,203,PEPSI,P
2021-09-24,204,MILK,XG
2021-01-01,200,JUICE,G
2020-09-18,205,PEPSI,M
2021-11-26,200,JUICE,P
2020-04-05,206,WATER,G
2020-01-18,209,JUICE,P
2021-05-22,204,PEPSI,G
2020-09-25,210,WATER,XG
2020-04-24,203,WATER,G
2020-07-03,208,MILK,XG
2020-10-11,209,JUICE,M
2021-02-18,210,SPRITE,XG
2021-11-26,200,SPRITE,XG
2020-11-19,200,COCA,M
2020-10-09,206,JUICE,XG
2021-08-01,205,MILK,G
2020-09-05,209,PEPSI,XG
2021-03-30,205,WATER,XG
2021-08-15,202,WATER,M
2021-03-17,207,WATER,G
2020-04-06,210,COCA,G
2021-10-10,203,PEPSI,M
2020-11-09,200,JUICE,M
2021-12-24,206,WATER,XG
2021-01-31,208,COCA,XG
2021-10-23,210,COCA,M
2020-12-08,203,COCA,M
2020-07-08,208,JUICE,XG
2020-12-29,200,PEPSI,M
2021-09-27,206,SPRITE,XG
2020-10-23,210,WATER,XG
2021-08-02,207,COCA,XG
2021-12-13,202,SPRITE,XG
2020-02-23,209,JUICE,P
2021-10-20,206,JUICE,P
2020-09-21,209,WATER,M
2020-07-08,204,SPRITE,P
2020-10-21,203,JUICE,P
2020-05-02,207,PEPSI,G
2020-11-26,202,MILK,G
2021-05-06,210,MILK,XG
2020-06-26,208,PEPSI,P
2021-02-18,207,PEPSI,P
2020-03-08,202,PEPSI,XG
2021-11-05,206,PEPSI,XG
2021-10-15,209,COCA,G
2021-11-06,208,WATER,G
2021-07-06,206,JUICE,G
2021-06-19,207,MILK,P
2021-04-11,201,COCA,M
2021-01-29,203,JUICE,M
2021-04-16,206,JUICE,M
2020-01-15,201,JUICE,P
2021-05-09,210,JUICE,XG
2020-01-25,200,MILK,XG
2021-07-24,203,WATER,P
2021-09-15,200,SPRITE,M
2020-11-18,202,SPRITE,G
2021-04-23,210,MILK,P
2021-12-16,205,MILK,M
2020-01-31,202,JUICE,XG
2020-10-21,208,WATER,G
2021-05-10,201,COCA,M
2021-05-20,202,MILK,XG
2020-06-20,203,MILK,XG
2021-12-20,203,COCA,XG
2021-01-26,205,COCA,XG
2021-06-21,209,SPRITE,G
2021-09-08,206,WATER,P
2020-04-12,201,SPRITE,G
2020-01-12,201,MILK,G
2020-01-12,203,COCA,M
2021-01-09,203,PEPSI,XG
2021-01-28,207,JUICE,P
2021-04-11,203,WATER,G
2021-08-05,200,MILK,P
2021-10-17,201,JUICE,XG
2020-10-05,208,PEPSI,XG
2021-05-31,210,JUICE,G
2020-08-13,203,PEPSI,G
2020-01-27,204,JUICE,G
2020-09-22,200,SPRITE,M
2020-10-22,210,WATER,XG
2021-03-25,201,JUICE,M
2021-01-19,203,MILK,M
2021-05-29,207,PEPSI,G
2020-03-27,206,WATER,M
2021-10-09,207,COCA,G
2020-03-03,204,COCA,XG
2020-06-21,201,MILK,XG
2021-03-02,201,SPRITE,P
2021-01-14,200,SPRITE,P
2021-09-01,206,MILK,P
2021-02-02,207,MILK,G
2021-05-10,201,WATER,G
2020-05-21,206,MILK,P
